gen,mape,dim
[ 2 24 33 57],0.06799402418401516,4
[ 2 59 20 43],0.06799467935201192,4
[ 2 31 30 56],0.06799485682267399,4
[ 2 63 17 21],0.06799508675943662,4
[ 2 31 44 26],0.06799509290442476,4
[ 2 31 29 43],0.06799564729864309,4
[ 2 31 24 60],0.0679957113934874,4
[ 2 59 20 21],0.06799592223856411,4
[ 2 31 24 38],0.06799598076009808,4
[ 2 56 54 46],0.06799627607754588,4
[ 2 13 20 38],0.06799669980792715,4
[ 2 31 37 61],0.06799680493738157,4
[ 2 29 53 52],0.06799687107648117,4
[ 2 58 54 34],0.0679970220386473,4
[ 2 13 19 59],0.06799755930327775,4
[ 2 63 24 32],0.06799789248856096,4
[ 2 32 20 38],0.0679983521032523,4
[ 2 13 20 43],0.0679995129967225,4
[ 2 32 44 38],0.06800047818824458,4
[ 2 31 29 49],0.06800058194305064,4
[ 2 39 32 46],0.0680006541049867,4
[ 2 32 51 31],0.06800112795251638,4
[ 2 31 43 48],0.06800119925063948,4
[ 2 11 30 56],0.06800142481327097,4
[ 2 32 29 51],0.0680018714036993,4
[ 2 38 30 38],0.06800200847118636,4
[ 2 32 39 37],0.06800288065161461,4
[ 2 32 43 46],0.06800298441822615,4
[ 2 63 21 38],0.06800462851463585,4
[ 2 58 21 41],0.06800486844425051,4
[ 2 34 19 55],0.06800567898991337,4
[ 2 13 59 38],0.06800597810924605,4
[ 2 31 36 61],0.06800625042306511,4
[ 2 15 33 63],0.06800658202747796,4
[ 2 32 29 58],0.06800679466454328,4
[ 2 15 50 38],0.06800815473886421,4
[ 2 13 62 20],0.06800850024067627,4
[ 2 13 44 46],0.06800899082633287,4
[ 2 13 15 50],0.06800915734051423,4
[ 2 31 43 43],0.06800951632238034,4
[ 2 23 57 56],0.06800978194914674,4
[ 2 31 24 52],0.06801026046086821,4
[ 2 23 37 46],0.06801046564468352,4
[ 2 13 29 18],0.06801061698932273,4
[ 2 23 40 51],0.06801068994560527,4
[ 2 13 58 43],0.0680109883570665,4
[ 2 31 53 49],0.06801144475707853,4
[ 2 31 34 63],0.06801191153309384,4
[ 2 63 35 21],0.06801192996181217,4
[ 2 27 40 58],0.06801197487416577,4
[ 2 13 51 20],0.06801245893874616,4
[ 2 35 29 41],0.0680127362101131,4
[ 2 32 45 43],0.06801307095304694,4
[ 2 63 31 32],0.06801370223694586,4
[ 2 13 17 51],0.06801535571136058,4
[ 2 31 17 57],0.06801552693113848,4
[ 2 63 27 55],0.06801634182576959,4
[ 2 31 30 46],0.06801637347852353,4
[ 2 31 29 63],0.06801735414253272,4
[ 2 13 44 27],0.06801770722848381,4
[ 2 32 45 48],0.06801867946978556,4
[ 2 31 35 38],0.06801944712099887,4
[ 2 63 13 38],0.06802204108805741,4
[ 2 62  2 41],0.06802444548729705,4
[ 2 13 14 46],0.0680254641919317,4
[ 2 13 15 55],0.0680275669726564,4
[ 2 31 28 60],0.06802759826516529,4
[ 2 31 29 37],0.06802789070885541,4
[ 2 34 44 61],0.06802822071388966,4
[ 2 63 21 61],0.06803221486764151,4
[ 2 38 36 37],0.06803554792799217,4
[ 2 13 54 43],0.06803833000813775,4
[ 2 63 40 21],0.06803887926138055,4
[ 2 59 30 38],0.06804414817656064,4
[ 2 14 44 46],0.06804728660108336,4
[ 2 13 21 26],0.06804759816021623,4
[ 2 13 29 19],0.06807239357095833,4
[ 3  2 51 43],0.06807543846298561,4
[ 3  2 21 61],0.06808439201497772,4
[ 3  2 21 59],0.06810105661010306,4
[ 3  2 24 43],0.06811147658720251,4
[ 3  2 21 46],0.06813208470531355,4
[ 3  2 21 55],0.06814498097449354,4
[ 2 13 16 20],0.06816058203420651,4
[ 3  2 43 43],0.06816644518130377,4
[ 3  2 24 49],0.068171249492958,4
[ 3  2 20 61],0.06819458385116545,4
[ 3  2 29 24],0.0681967292013968,4
[ 3  2 30 43],0.06820859741549866,4
[ 2 40 29 38],0.06827738099264387,4
[ 2 56 30 50],0.0683778691183931,4
[ 2 43 29 60],0.06846790291420475,4
[ 3 10 34],0.06849301367131007,3
[ 2 56  3  3],0.0685549204883839,4
[ 2 62 44 63],0.06858487651161009,4
[ 2 54 51 62],0.0686600029332698,4
[ 2 27 54 37],0.06877761179116729,4
[ 2 36 26 46],0.06892059714174817,4
[ 2 56 18 49],0.06893265160116639,4
[ 2  3 41 55],0.06907954964472911,4
[ 2 15 29 51],0.06911836714473839,4
[ 2  3 59 42],0.0691456936467708,4
[ 2 38 32 16],0.06926073181021097,4
[ 2  3 58 46],0.06933221071792366,4
[ 4 25],0.06942036301266226,2
[ 2 60 30 36],0.06982914893181476,4
[ 3  3 54  9],0.07020832514184115,4
[ 3  3 24 46],0.07025288969981572,4
[ 3  3 55 43],0.07026846019215169,4
[ 5  3  9 50],0.07058250237802251,4
[ 2 58 29 16],0.07061466298539745,4
[ 2 13 58 15],0.07083285927715947,4
[ 2 56 12 41],0.07111852199540396,4
[ 2 54 22 52],0.0712000409132028,4
[ 2 63 62 51],0.07156804256904949,4
[ 5 17 24 46],0.07161028087136911,4
[ 5 15 52 23],0.07163014806803536,4
[ 2 54 29 27],0.07175591687706549,4
[ 2 56 38 48],0.07178752171310522,4
[ 2 26 62 61],0.07181383653496629,4
[ 3  9 51 43],0.07192888251776282,4
[ 2 43 29 46],0.07207323556425385,4
[ 2  3 15 61],0.07208136856999849,4
[ 2 15 28 46],0.07250248871528987,4
[ 7 22],0.0728141889386515,2
[ 3 15  6 32],0.07302543648992811,4
[ 3 14 54  3],0.0730255633709865,4
[ 3 26 27  7],0.07302639321549875,4
[ 3 15  6 50],0.07303608850225364,4
[ 3 16  6 37],0.07303666444698058,4
[ 3 12 10 36],0.07303719141961114,4
[ 4 43 43],0.07304155316393664,3
[ 3 50  1 35],0.07304271001092474,4
[ 3 50  1 39],0.0730432692227739,4
[ 3 50  1 38],0.07304351115204541,4
[ 3 50  1 43],0.07305260701203699,4
[ 3 15  6 20],0.07305402422580949,4
[ 3 19  8 17],0.07305551580944038,4
[ 4 53 11  8],0.07330845505883297,4
[ 2 24 17 62],0.0734407613755419,4
[ 2  3 17 38],0.07371190466032977,4
[ 3 43 37],0.07371732852084988,3
[ 3 52 37],0.07372281325914318,4
[ 3 25 60],0.0738021819534679,3
[ 3  5 10 10],0.07380574559293346,4
[ 3 56 38],0.07380622984703993,4
[ 3 27 24  5],0.07383095665816461,4
[ 3 25 49],0.07383875258280731,3
[ 2 63 30 43],0.07385000213446143,4
[ 3  7 34],0.07385846655322402,3
[ 3 22 49  3],0.07386802099812823,4
[ 3 42 54],0.07389121055324711,4
[ 3 26 63],0.07389234819766875,3
[ 3 44 34],0.07389340576617487,3
[ 3 34 55],0.0739088530630924,4
[ 3 50 58],0.07391376579342443,4
[ 2 56 21 21],0.07391749272054868,4
[ 3 49 49],0.07393187278191561,3
[ 4 29],0.07415826972412272,2
[ 3  8 42 13],0.0742168993099083,4
[ 2  3 59 63],0.07433786895659304,4
[ 2 55 18 32],0.07453544141276491,4
[ 2 10 59],0.0745863735940204,4
[ 2 49  3 49],0.07472726046073655,4
[ 4 10 29 55],0.07500920664763734,4
[15 60 29  4],0.07502181217710051,4
[ 2 38  4 38],0.07516609073855686,4
[ 2 35 59 25],0.07520578491747952,4
[ 2 40 46 59],0.07520836690925996,4
[ 2 45 44 46],0.07520908192718022,4
[ 2 62 37 56],0.07520979385038973,4
[ 2 29 14 59],0.07520989224715144,4
[ 2 22 44 35],0.07521035824061742,4
[ 2 22 38 52],0.07521064052544743,4
[ 2 13 36 32],0.07521070413451515,4
[ 2 30 20 56],0.0752107144545817,4
[ 2 31 16 61],0.07521084907225231,4
[ 2 56 37 63],0.07521086658234688,4
[ 2 20 44 38],0.07521095076313371,4
[ 2 54 55 51],0.07521127238917476,4
[ 2 54 47 45],0.07521144070952214,4
[ 2 31 32 32],0.07521162349022792,4
[ 2 47 59 55],0.07521168638299604,4
[ 2 58 49 41],0.07521236862036243,4
[ 2 58 53 55],0.07521384804679225,4
[ 3  9 60 12],0.075214825878355,4
[ 3  2 51  5],0.07524983649325237,4
[ 3  2 22 14],0.07525754319656963,4
[ 3  2 54  4],0.07525928892008367,4
[ 3  2 26 16],0.07526099416752323,4
[ 3  2 21 38],0.0752616915848189,4
[ 3  2 17 20],0.07526206414380875,4
[ 3  2 21 21],0.07526507943475674,4
[ 3  2 29 13],0.07526622536852147,4
[ 3  2 43 16],0.07527288380602386,4
[ 3  2 62  4],0.07528093118396277,4
[ 3  2 39 14],0.07528346321942926,4
[ 3  2 60 13],0.07528498571889691,4
[ 3  2 51 20],0.07528734901794093,4
[ 3  2  6 59],0.07529369740060023,4
[ 3  2 18 37],0.07529964910092078,4
[ 3  2  6 43],0.07530393105309602,4
[ 3  2 60  5],0.07532648661286055,4
[ 3  8 60 13],0.07534763743661993,4
[ 2 23  3 52],0.07537416654896699,4
[ 4 54  3 45],0.07546709914754754,4
[ 2 43 29 37],0.07580115795516397,4
[ 2 40 54 46],0.07583506457176764,4
[ 2 31 17 21],0.07589271633673705,4
[ 2  3 22 27],0.07615081962282706,4
[ 3 61 29  6],0.07622753547100536,4
[ 3 12 33 33],0.0762457250268563,4
[ 3 19  4 50],0.07625961205168079,4
[ 3 10 49],0.07626951323029814,3
[ 3 56 21  5],0.07626952137235628,4
[ 3 11  3 41],0.07627035176187981,4
[ 3 54 21  5],0.07627188356215188,4
[ 3 39  8 28],0.07627479410289725,4
[ 3 27  8 17],0.07627866385462828,4
[ 3 38  8  5],0.07628435096586035,4
[ 3 15 13 26],0.07628861380230466,4
[ 3 21  8 17],0.07629034793201897,4
[ 3 12 39  6],0.07629161150326401,4
[ 3  4  8 17],0.07629816502335758,4
[ 2  3 21 50],0.07630080934127044,4
[ 3 16  6 38],0.07630147335765113,4
[ 3  4 15 27],0.07630169458244097,4
[ 3 16  6 50],0.07630864658807003,4
[ 3 39  8 21],0.07631614404828528,4
[ 3 19 61 12],0.07632236761694683,4
[ 3 39  7 17],0.07632405040801978,4
[ 3 56  6 46],0.07632619224340934,4
[ 3 15  3 50],0.07632724496493512,4
[ 3 54 13  9],0.07632882826452915,4
[ 3 35 27],0.07633398271481935,3
[ 3 47 37],0.07633417461734658,3
[ 3 39  7 21],0.07633616993598517,4
[ 2  6 46 36],0.0763392256108191,4
[ 3 47 44],0.07633967098930168,3
[ 3 24 30  4],0.07634176076886358,4
[ 3 35  3 45],0.07634534794637474,4
[ 3 22 43],0.07634808895571697,4
[ 3 53 21  6],0.07634909566446596,4
[ 3 17  8 17],0.07635248170319715,4
[ 3 47 60  6],0.0763530662739861,4
[ 3 10 56],0.07635660773674895,3
[ 3 36 18  4],0.07635850323490706,4
[ 3 63  8  4],0.07635971589946737,4
[ 3  4 10 36],0.07636061196225333,4
[ 3 47  3 19],0.07636573510721084,4
[ 3 15  8 21],0.07637305798467355,4
[ 3 13  8 26],0.07637584709999681,4
[ 3 15 49  3],0.07637598768731821,4
[ 3 58  6 19],0.07637946030074362,4
[ 3 13 10 10],0.07638143948030612,4
[ 3 57 14  5],0.07638257003564412,4
[ 3 24 57  9],0.07638307604319676,4
[ 3 58  1 38],0.07638462278298147,4
[ 3  4 54 10],0.07638537365742039,4
[ 3 31  8 31],0.07638881138918173,4
[ 5 37  4],0.07638927540103503,3
[ 3 12 10 38],0.07638987248127209,4
[ 3  7 20 27],0.07639164069460794,4
[ 3 16 26  9],0.07639181831938452,4
[ 2 13  1 16],0.07639203193888146,4
[ 3 52  3 19],0.07639263360849842,4
[ 3 41 10 18],0.07639535170571927,4
[ 3 53 36],0.07640107134636484,3
[ 3 11 49 16],0.07640467288975887,4
[ 3 53  3 13],0.07640620696459566,4
[ 3 15  8 43],0.07641103269075812,4
[ 3  4 46  6],0.07641805760508961,4
[ 3 32  8 15],0.07643286355087048,4
[ 3  4 28 38],0.07643586420991004,4
[ 3 38  6 38],0.07645267534814347,4
[ 2 39 32 13],0.07645452716820551,4
[ 2 54 21 52],0.07647846064290864,4
[ 2 31  3 26],0.07656345711186001,4
[ 2 40 54 26],0.07658647237008585,4
[ 2 39 14 16],0.07666740063663256,4
[23 37  8 39],0.07667839523711141,4
[ 2  9 10],0.07670264526429116,4
[ 2 16  6  3],0.07671233129469779,4
[ 2  3 54 52],0.07677464187516067,4
[ 8 16 32  4],0.07679636912552701,4
[ 4 27  1 59],0.0768780924028128,4
[ 4 49 36  2],0.07690049423069341,4
[ 3 13 49  6],0.07690115538336774,4
[ 3  9 37 51],0.07693837176858047,4
[ 2 23  3 26],0.07696712697263881,4
[ 3  9 32 37],0.07697056157626926,4
[ 2 52  7 35],0.07699247150724607,4
[ 3 13 17 38],0.07699843588301643,4
[27  3 52  3],0.07700693626349195,4
[ 3  9 21 59],0.07701970600427475,4
[ 6 25 23  5],0.07709633823218501,4
[ 2 38 54 37],0.07750185669674517,4
[ 2 37 22 37],0.0775058269147668,4
[ 2 22 21 52],0.07751523095982232,4
[ 2 34 34 54],0.07751542801070793,4
[ 2 37 14 57],0.07751699557697901,4
[ 2 34 21 49],0.07751761003123485,4
[ 2 13 42 21],0.07751910920309753,4
[ 2 31 32 53],0.0775195117537329,4
[ 2 32 26 21],0.07752031400817422,4
[ 2 56 12 34],0.07752077697353164,4
[ 2 20 51 38],0.0775209580969846,4
[ 2 30 20 27],0.07752131095115387,4
[ 2 25 52 62],0.07752135562123948,4
[ 2 20 29 38],0.07752136678978883,4
[ 2 25 50 29],0.07752174715036031,4
[ 2 18 21 40],0.0775218169139929,4
[ 2 51 30 56],0.07752242965990358,4
[ 2 26 44 26],0.07752255000424504,4
[ 2 15 22 63],0.0775227590066149,4
[ 2 23 53 26],0.07752330822662852,4
[ 2 54 50 38],0.07752340649162401,4
[ 2 44 29 52],0.07752366053634024,4
[ 2 54 21 57],0.0775236729901743,4
[ 2 54 57 38],0.0775237134911423,4
[ 2 47 16 37],0.07752400572816512,4
[ 2 15 21 57],0.07752403511538722,4
[ 2 40 29 52],0.07752407651370984,4
[ 2 25 29 43],0.0775240811169438,4
[ 2 25 32 36],0.07752410374983326,4
[ 2 22 30 20],0.07752421387546367,4
[ 2 36 23 38],0.07752422663936781,4
[ 2 17 48 26],0.07752431108267384,4
[ 2 23 28 15],0.0775244217820808,4
[ 2 32 53 61],0.07752442354178453,4
[ 2 23 20 46],0.0775244859204462,4
[ 2 39 32 20],0.07752453848465594,4
[ 2 26 61 38],0.07752464104379811,4
[ 2 27 43 18],0.077524686945691,4
[ 2 26 53 26],0.0775247529802118,4
[ 2 21 16 60],0.07752486949650587,4
[ 2 23 15 46],0.07752493845185625,4
[ 2 54 54 60],0.07752501041568208,4
[ 2 13 21 59],0.07752532243210783,4
[ 2 15 29 60],0.0775254264197462,4
[ 2 13 29 46],0.07752594565371329,4
[ 2 27 44 63],0.07752601870283428,4
[ 2 57 24 31],0.07752613746488185,4
[ 2 23 24 34],0.07752615648712173,4
[ 2  5 26 61],0.07752618720188639,4
[ 2 44 61 33],0.07752637964620918,4
[ 2 19 22 34],0.07752683533240817,4
[ 2 26 30 36],0.0775271138732125,4
[ 2 20 48 51],0.07752733759804782,4
[ 2 27 55 19],0.07752738508247466,4
[ 2 38 57 13],0.07752742298157896,4
[ 2 63 38 16],0.07753014162383366,4
[ 2 26 54 28],0.07753042818952152,4
[ 2 19 51 23],0.07753050617188026,4
[ 2 41  8 38],0.07753077593473777,4
[ 2 59 53 41],0.07753342512721774,4
[ 2 32 54 46],0.07753383411514445,4
[ 2 43 53 52],0.07753393137799593,4
[ 2 29 56 58],0.07753537844328094,4
[ 2 21 44 38],0.07753577129805506,4
[ 2 25 37 49],0.07753637291931574,4
[ 2 54 49 46],0.07753927725554327,4
[ 2 17 37 50],0.07767989490957639,4
[3 7],0.07768967006642273,2
[ 2 39  3  3],0.07800400498538923,4
[ 2 14 37 38],0.07801854759505683,4
[ 2 55 37  5],0.07803144339877245,4
[ 2  3 55 55],0.07803775926429694,4
[ 2 14 15  6],0.07805542758577262,4
[ 2 60 32 38],0.07806098014555365,4
[ 2 56 62 61],0.0780802402014892,4
[ 2 13 51 52],0.07808167459376923,4
[ 2 61 54 63],0.07808735522810455,4
[ 2 54 54 52],0.0780880342668717,4
[ 2  6  9 47],0.07809713676355749,4
[ 2 13 54 55],0.0780974883728352,4
[ 2 63 57 51],0.07809781990561457,4
[ 2  3 59 50],0.0781031749768933,4
[ 2 20 31 45],0.07811186475845006,4
[ 2 52 19 17],0.07811340883638071,4
[ 2 13 49 46],0.07811517952802251,4
[ 2 62 44 61],0.0781151904722824,4
[ 2 55 29],0.07811597000834743,4
[ 2 13 62 52],0.07812027830767311,4
[ 2  7 54 38],0.07812130348617759,4
[ 2 13 58 52],0.07812239839195277,4
[ 2 13 54 56],0.07812253290381871,4
[ 2 13 54 58],0.07813087194129557,4
[ 2 13 17 60],0.07813125574475714,4
[ 2 13 15 46],0.07813145744716371,4
[ 2 16 32 26],0.07813265154525352,4
[ 2 61 53 50],0.07813363732855988,4
[ 2 13 38 41],0.07813396625073883,4
[ 2 13 32 55],0.07813791086880352,4
[ 2 57 54 52],0.07813969091000457,4
[ 2  6  4 33],0.07813999335277326,4
[ 2 12 46],0.07814698713201305,4
[ 2 13 62 16],0.07814854016585572,4
[ 2 13 36 43],0.07815118766273678,4
[ 2  3 57 56],0.0781540437943851,4
[ 2 13 50 37],0.07816098394553518,4
[ 2 62 54 55],0.07816110022758123,4
[ 2  3 44 46],0.07816312532579227,4
[ 2 15 20 40],0.07816346705372186,4
[ 2 62 54 58],0.07816449921340758,4
[ 2 13 51 55],0.07816534656351741,4
[ 2 13 58 38],0.07816584528861056,4
[ 2 60 14 46],0.07816664337124647,4
[ 2  3 59 55],0.07816738926535075,4
[ 2 13 37 50],0.07816914193948267,4
[ 2 13 53 57],0.07817263055530381,4
[ 2 13 39 55],0.07817512913400702,4
[ 2 13 60 56],0.0781764732083617,4
[ 2 13 16 47],0.07817683189357122,4
[ 2  3 59 61],0.07817711889211261,4
[ 2  7 54 55],0.07817752697755241,4
[ 2 13 62 22],0.07817832977516374,4
[ 2 13 57 59],0.07817975896103824,4
[ 2 13 60 43],0.0781812705038993,4
[ 2 62 54 46],0.07818292574597775,4
[ 2 49 48 50],0.07818383870588852,4
[ 2 56 63 61],0.07818427667501404,4
[ 2 56 58 63],0.07818463588340667,4
[ 2 10 37 16],0.07818496087547483,4
[ 2 13 48 63],0.07818567577328446,4
[ 2 15 34 62],0.078186005926264,4
[ 2 19 62 16],0.07818656124750367,4
[ 2 13 54 51],0.07819015898928779,4
[ 2 13 53 21],0.07819153662685485,4
[ 2 13 59 55],0.07819455159603245,4
[ 2 13 57 51],0.07819499245714077,4
[ 2 56 59 61],0.07819653543089848,4
[ 2 13 29 48],0.07819861433756964,4
[ 2 13 44 52],0.07819899727342622,4
[ 2 37 37 51],0.07820016165051201,4
[ 2 54 54 51],0.07820220805129277,4
[ 2 13 44 58],0.07820547062562333,4
[ 2 13 50 52],0.07820676669992922,4
[ 2 13 31 55],0.0782072172234861,4
[ 2 13 62 45],0.07821328004333293,4
[ 2 13 59 56],0.07821580541714822,4
[ 2 56 55 60],0.07821899123015542,4
[ 2 61 59 43],0.07821971207588298,4
[ 2 13 57 38],0.07822257087855929,4
[ 2 13 28 52],0.07822415342024391,4
[ 2 45 53 59],0.07823209018810452,4
[ 2 62 31 52],0.07823435390361408,4
[ 2 63 59 21],0.07823953314005956,4
[ 2 27 41 47],0.07824173196317084,4
[ 2 57 50 37],0.07824934096291361,4
[ 2 55 45 52],0.07825083507221242,4
[ 2 13 45 43],0.07825191802896543,4
[ 2 13 44 57],0.07825621109566387,4
[ 2 58 34 37],0.07825699205008696,4
[ 2 26 53 55],0.07825704665879492,4
