Unnamed: 0,Ano Mês,Consumo,Ano,Mês,Dias com Precipitação,Precipitação,Pressão,Temperatura,Vento Máx,Vento Méd,Consumo Médio,Rlin,Consumo_fuzzy,ConsumoMLP,ConsumoMLP2
0,2013-01,339480.0,2013,1,9.083333333333334,117.47777777777776,976.5427115833332,22.323022750000003,9.236111111111112,3.0538420277777787,321283.6438333333,275264.3252077626,354944.5044094136,,
1,2013-02,414663.0,2013,2,13.777777777777779,148.18888888888893,975.3600361944444,22.569606444444442,9.458333333333329,2.8354753888888884,321283.6438333333,276560.6440422857,428227.74957176665,,
2,2013-03,323379.0,2013,3,13.527777777777779,146.8222222222222,977.6849656666664,19.726666361111114,9.613888888888887,2.849182888888889,321283.6438333333,277856.9628768089,293313.0301523458,,
3,2013-04,254855.0,2013,4,11.055555555555555,119.87777777777781,978.88023,18.70905863888889,8.636111111111111,2.475605305555556,321283.6438333333,279153.281711332,270431.02238815627,,
4,2013-05,212174.0,2013,5,15.527777777777779,110.61666666666666,979.065762638889,15.344357305555553,9.613888888888887,2.3759103333333336,321283.6438333333,280449.60054585506,266298.9619628168,,
5,2013-06,194551.0,2013,6,18.277777777777782,93.78888888888888,979.9846796944445,13.689317833333332,8.502777777777778,2.3708948611111107,321283.6438333333,281745.9193803782,266454.08977307944,,
6,2013-07,189999.0,2013,7,12.222222222222221,79.53888888888892,982.2058448333332,12.778903499999998,8.711111111111112,2.492740583333334,321283.6438333333,283042.2382149013,267386.1533031557,,
7,2013-08,194603.0,2013,8,15.194444444444445,190.58333333333337,981.7532681666664,12.370022277777776,9.261111111111113,2.8862294166666667,321283.6438333333,284338.55704942445,267195.6560016396,,
8,2013-09,189491.0,2013,9,13.027777777777779,130.52222222222218,979.4754619444444,15.782634055555556,9.322222222222221,2.9178492222222214,321283.6438333333,285634.87588394753,266368.13437344355,,
9,2013-10,190822.0,2013,10,12.194444444444445,154.79444444444445,978.4726921388886,18.039489083333336,9.097222222222221,2.9170596944444447,321283.6438333333,286931.1947184707,267940.12157959194,,
10,2013-11,221771.0,2013,11,11.162162162162161,183.5081081081081,975.0955629189192,20.895210405405408,9.92162162162162,3.3828581351351352,321283.6438333333,288227.51355299377,328876.68467277626,,
11,2013-12,315681.0,2013,12,9.027027027027025,106.61081081081082,974.8606020810812,23.409348621621614,9.451351351351352,2.773568540540541,321283.6438333333,289523.8323875169,426510.1045585714,,
12,2014-01,488857.0,2014,1,13.756756756756756,179.2270270270271,976.2934466216216,24.35974154054055,9.983783783783784,2.7094719729729726,321283.6438333333,290820.1512220401,368778.8510712886,,
13,2014-02,481344.0,2014,2,13.351351351351349,196.66486486486488,976.953451,24.195675405405407,9.94864864864865,2.894209540540541,321283.6438333333,292116.47005656315,371551.4655199414,,
14,2014-03,375298.0,2014,3,13.675675675675675,188.81081081081075,977.579577054054,20.98534291891892,8.621621621621621,2.5099889459459455,321283.6438333333,293412.7888910863,332093.310928756,,
15,2014-04,290107.0,2014,4,10.972972972972975,114.64324324324323,980.1989370810812,19.32685691891892,9.264864864864863,2.6574041351351347,321283.6438333333,294709.10772560944,283246.7036710244,,
16,2014-05,262390.0,2014,5,15.837837837837839,143.27567567567561,980.668281891892,15.761502756756757,9.189189189189188,2.180386783783784,321283.6438333333,296005.4265601325,266738.53553448373,,
17,2014-06,236852.0,2014,6,15.45945945945946,197.0918918918919,980.8351495135137,14.747564270270269,9.464864864864866,2.6800554594594588,321283.6438333333,297301.74539465556,266808.8789083695,,
18,2014-07,230848.0,2014,7,12.864864864864865,148.79459459459454,983.148958054054,14.382437297297301,9.3,2.634768405405405,321283.6438333333,298598.06422917877,267782.78625081986,,
19,2014-08,234536.0,2014,8,12.513513513513516,97.87567567567572,981.9025807297296,15.29262394594595,9.154054054054056,2.6950176756756763,321283.6438333333,299894.38306370185,267258.5159192033,,
20,2014-09,229443.0,2014,9,14.621621621621617,212.7243243243243,978.9540417567567,17.183328216216218,10.178378378378376,3.1635533783783782,321283.6438333333,301190.701898225,266920.33825739817,,
21,2014-10,230584.0,2014,10,11.702702702702705,184.80540540540542,979.2776167027027,19.93962654054054,11.051351351351354,3.1638010540540535,321283.6438333333,302487.0207327481,299051.59297649644,,
22,2014-11,260329.0,2014,11,10.783783783783784,106.34054054054054,977.0481970270273,21.35101451351352,9.132432432432433,2.8258347297297286,321283.6438333333,303783.33956727124,347104.2462448855,,
23,2014-12,356316.0,2014,12,13.54054054054054,202.72432432432427,976.1118303243244,22.520197621621623,9.891891891891893,2.8156421891891887,321283.6438333333,305079.65840179444,360451.50821756775,,
24,2015-01,418425.945,2015,1,15.54054054054054,208.2594594594594,977.2689059729727,23.39522621621622,9.65945945945946,2.5470673783783777,321283.6438333333,306375.9772363175,437949.38501942385,,
25,2015-02,458052.0,2015,2,12.432432432432432,119.29189189189188,976.9162117837838,23.065435648648638,7.929729729729731,2.4743725675675674,321283.6438333333,307672.29607084056,438987.5209489195,,
26,2015-03,418233.0,2015,3,10.891891891891891,84.48648648648651,978.3031761891887,22.222464378378376,7.475675675675678,2.4414579729729744,321283.6438333333,308968.6149053637,355278.3860306934,,
27,2015-04,342563.0,2015,4,10.945945945945946,100.62702702702705,980.0434640270269,19.710465810810813,8.072972972972972,2.330286783783784,321283.6438333333,310264.93373988685,292899.3216039214,,
28,2015-05,264653.0,2015,5,12.351351351351349,149.66486486486488,981.4186384864863,17.038376243243253,9.127027027027026,2.475040081081081,321283.6438333333,311561.25257440994,267054.7365755554,,
